inn,revenue,net_profit,total_assets,total_liabilities,current_assets,current_liabilities,equity,region,industry,company_age,authorized_capital,is_bankrupt
0000000000,47560358.16729085,9340796.718132041,94961208.90439165,24918529.264091685,42428512.03183261,7909766.236100735,70042679.64029996,Moscow_region,Construction,23,621059.2611560484,0
0000000001,4178968.9399220664,-1601437.2684206786,2545420.195760017,2015214.9087192104,741411.3440417632,1430606.2481482367,530205.2870408064,Moscow_region,Services,12,14381.860757868993,1
0000000002,2809950.3290739637,687738.4445749274,3040164.926139784,718216.3869676618,1780064.607372914,297872.0569464062,2321948.5391721223,Moscow_region,Construction,22,612793.8404189403,0
0000000003,935568.2060677285,-434310.99185076694,1789840.5995682317,2117052.128217992,792038.8381862869,1316479.3554341914,-327211.5286497602,Novosibirsk,IT,5,53869.82686820831,1
0000000004,25011257.050507873,1422582.8807653028,69363744.31941292,21052728.255356967,41532005.629118055,8284529.05033567,48311016.06405595,Novosibirsk,Construction,8,247544.57972477938,0
0000000005,3898150.8344694613,65194.3034381601,7099337.62105942,7091883.241343677,3383276.4557873798,3796973.01758647,7454.379715742543,Ekaterinburg,Construction,7,108958.5094049065,1
0000000006,41522506.703020506,5038783.81494291,49924016.005520366,20822230.377794318,22080257.381169826,11257728.215827791,29101785.62772605,Moscow,Trade,3,64854.586404134236,0
0000000007,773344.7976183188,164793.8105517057,1753283.522616304,861919.2067614361,1106990.0861446315,277721.914274703,891364.3158548679,Novosibirsk,Trade,9,668523.1742268472,0
0000000008,1721400.321777981,-800525.0103402692,1426472.713270022,1230463.467129842,597523.5341037455,929028.2042442291,196009.24614018016,Moscow_region,Construction,11,116636.25091106322,1
0000000009,4259677.738903811,-438954.523303261,2986776.8276029127,2473153.2456753715,633585.1980076408,1939607.9157206633,513623.5819275412,Ekaterinburg,Services,10,14829.634081378086,1
0000000010,32002315.35755713,3612139.6160656298,56689756.779437594,31917840.423104316,26915597.4630111,13504913.121876793,24771916.356333278,Ekaterinburg,Services,13,242908.16349803092,0
0000000011,4414292.411174763,-691301.4704775959,3542810.7343502054,2666840.6121146497,1193786.8199426855,1566438.6377764978,875970.1222355557,Moscow_region,Manufacturing,4,179586.20971309577,1
0000000012,18136742.98481026,4196220.024366789,21407353.15482368,9827603.08909244,8566283.230163185,3987752.961215973,11579750.065731239,Moscow_region,Trade,5,56604.52400463117,0
0000000013,34775583.62806838,3612573.4102921304,38611810.60071753,10321570.85861493,17978789.023997765,4824618.065631531,28290239.7421026,Moscow,Manufacturing,22,395448.12226032926,0
0000000014,1333733.2495442843,-302108.34869495186,1082315.364841116,911764.3771856175,228440.06593339206,678193.8067231072,170550.98765549844,Ekaterinburg,Trade,2,88097.03253046394,1
0000000015,3435456.7126183575,-714526.8282892309,3645814.4672867083,3559942.938600239,1377421.5806472204,1895104.7605563155,85871.52868646942,Ekaterinburg,IT,8,55151.13335855594,1
0000000016,2054239.7679783101,-104689.13199239876,3404258.847728788,2639521.959686284,1199863.8241831192,2054406.2531853348,764736.888042504,Moscow_region,IT,3,122269.65920576594,1
0000000017,25848606.38581441,2463350.347519001,54616346.96823572,14732572.348106686,33167487.358589966,6129053.6451148335,39883774.620129034,Moscow_region,IT,20,845824.6006119616,0
0000000018,1124450.9416147969,-227368.0446041918,1667373.501592027,1357700.5761809677,420989.2631422241,1212246.4983485164,309672.9254110593,SPB,Trade,4,110633.60988764123,1
0000000019,44912180.01868968,10333556.576014146,93541006.55722427,31393476.47447721,47216027.15549623,16255124.70018096,62147530.082747065,Moscow,IT,5,863508.0772841878,0
0000000020,8500621.347683381,1952684.8507928909,17137870.199836366,3490621.190698071,7376849.919119104,1741996.3578036928,13647249.009138295,SPB,Manufacturing,20,202767.64884662372,0
